Boğaziçi Üniversitesi,320,116,Boğaziçi
Bilkent Üniversitesi,200,19,Bilkent
Koç Üniversitesi,120,8,Koç
Sabancı Üniversitesi,100,28,Sabancı
İstanbul Teknik Üniversitesi,150,42,İTÜ
Orta Doğu Teknik Üniversitesi,180,39,ODTÜ
Galatasaray Üniversitesi,50,12,Galatasaray
Yıldız Teknik Üniversitesi,120,41,YTÜ
Özyeğin Üniversitesi,40,10,Özyeğin
Bilgi Üniversitesi,75,0,Bilgi
Bahçeşehir Üniversitesi,50,11,Bahçeşehir
Dokuz Eylül Üniversitesi,90,18,Dokuz Eylül
Ege Üniversitesi,60,7,Ege
Anadolu Üniversitesi,100,11,Anadolu
İstanbul Üniversitesi,225,43,İstanbul
Marmara Üniversitesi,225,36,Marmara
Hacettepe Üniversitesi,50,14,Hacettepe
Yeditepe Üniversitesi,50,18,Yeditepe
TOBB Ekonomi ve Teknoloji Üniversitesi,25,2,TOBB
